[it 0059] step=60416 | EpRew=-0.6 EpCost=0.0 | Vr=0.007 Vc=0.008 | PiLoss=0.024 Track=0.024 MeanRatio=1.000 LB%=0.0% | time=3.4m
[it 0060] step=61440 | EpRew=-0.5 EpCost=48.0 | Vr=0.012 Vc=4.446 | PiLoss=0.023 Track=0.023 MeanRatio=1.000 LB%=0.0% | time=3.4m
[it 0061] step=62464 | EpRew=0.3 EpCost=0.0 | Vr=0.009 Vc=0.009 | PiLoss=0.023 Track=0.023 MeanRatio=1.000 LB%=0.0% | time=3.5m
[it 0062] step=63488 | EpRew=0.5 EpCost=0.0 | Vr=0.006 Vc=0.009 | PiLoss=0.026 Track=0.026 MeanRatio=1.000 LB%=0.0% | time=3.5m
[it 0063] step=64512 | EpRew=-0.5 EpCost=352.0 | Vr=0.009 Vc=39.706 | PiLoss=0.020 Track=0.020 MeanRatio=1.000 LB%=0.0% | time=3.6m
[it 0064] step=65536 | EpRew=-0.6 EpCost=0.0 | Vr=0.007 Vc=0.004 | PiLoss=0.025 Track=0.025 MeanRatio=1.000 LB%=0.0% | time=3.7m
[it 0065] step=66560 | EpRew=-0.3 EpCost=0.0 | Vr=0.006 Vc=0.007 | PiLoss=0.022 Track=0.022 MeanRatio=1.000 LB%=0.0% | time=3.7m
[it 0066] step=67584 | EpRew=-2.5 EpCost=138.0 | Vr=0.007 Vc=16.261 | PiLoss=0.033 Track=0.033 MeanRatio=1.000 LB%=0.0% | time=3.8m
[it 0067] step=68608 | EpRew=0.3 EpCost=73.0 | Vr=0.007 Vc=6.865 | PiLoss=0.025 Track=0.025 MeanRatio=1.000 LB%=0.0% | time=3.8m
[it 0068] step=69632 | EpRew=-0.6 EpCost=101.0 | Vr=0.008 Vc=8.939 | PiLoss=0.031 Track=0.031 MeanRatio=1.000 LB%=0.0% | time=3.9m
